time(sec)  velocity(km/h)  position(m)   Power(kW)
  342       216.57184     18207.18778         0.00000
  343       216.09956     18267.28103         0.00000
  344       215.62814     18327.24321         0.00000
  345       215.15757     18387.07456         0.00000
  346       214.68786     18446.77531         0.00000
  347       214.21899     18506.34571         0.00000
  348       213.75096     18565.78598         0.00000
  349       213.28378     18625.09636         0.00000
  350       212.81744     18684.27708         0.00000
  351       212.35193     18743.32839         0.00000
  352       211.88725     18802.25049         0.00000
  353       211.42340     18861.04364         0.00000
  354       210.96038     18919.70805         0.00000
  355       210.49818     18978.24397         0.00000
  356       210.03681     19036.65160         0.00000
  357       209.57625     19094.93119         0.00000
  358       209.11650     19153.08296         0.00000
  359       208.65757     19211.10714         0.00000
  360       208.19945     19269.00395         0.00000
  361       207.74213     19326.77361         0.00000
  362       207.28562     19384.41636         0.00000
  363       206.82990     19441.93240         0.00000
  364       206.37499     19499.32197         0.00000
  365       205.92087     19556.58528         0.00000
  366       205.46754     19613.72256         0.00000
  367       205.01501     19670.73403         0.00000
  368       204.56325     19727.61990         0.00000
  369       204.11229     19784.38039         0.00000
  370       203.66210     19841.01572         0.00000
  371       203.21269     19897.52611         0.00000
  372       202.76406     19953.91177         0.00000
  373       202.31621     20010.17292         0.00000
  374       201.86912     20066.30977         0.00000
  375       201.42280     20122.32254         0.00000
  376       200.97724     20178.21143         0.00000
  377       200.53245     20233.97667         0.00000
  378       200.08842     20289.61845         0.00000
  379       199.64514     20345.13700         0.00000
  380       199.20262     20400.53253         0.00000
  381       198.76085     20455.80523         0.00000
  382       198.31983     20510.95533         0.00000
  383       197.87956     20565.98302         0.00000
  384       197.44003     20620.88852         0.00000
  385       197.00125     20675.67203         0.00000
  386       196.56320     20730.33376         0.00000
  387       196.12589     20784.87391         0.00000
  388       195.68931     20839.29269         0.00000
  389       195.25346     20893.59029         0.00000
  390       194.81835     20947.76693         0.00000
  391       194.38396     21001.82281         0.00000
  392       193.95029     21055.75812         0.00000
  393       193.51735     21109.57307         0.00000
  394       193.08512     21163.26786         0.00000
  395       192.65361     21216.84268         0.00000
  396       192.22282     21270.29774         0.00000
  397       191.79273     21323.63323         0.00000
  398       191.36336     21376.84936         0.00000
  399       190.93469     21429.94631         0.00000
  400       190.50673     21482.92429         0.00000
  401       190.07947     21535.78348         0.00000
  402       190.12720     21588.58996         0.00000
  403       190.17486     21641.40969         0.00000
  404       190.22243     21694.24265         0.00000
  405       190.26993     21747.08881         0.00000
  406       190.31735     21799.94816         0.00000
  407       190.36470     21852.82067         0.00000
  408       190.41196     21905.70631         0.00000
  409       190.45915     21958.60508         0.00000
  410       190.50626     22011.51694         0.00000
  411       190.55330     22064.44188         0.00000
  412       190.60026     22117.37988         0.00000
  413       190.64714     22170.33090         0.00000
  414       190.69394     22223.29494         0.00000
  415       190.74067     22276.27197         0.00000
  416       190.78732     22329.26197         0.00000
  417       190.83389     22382.26491         0.00000
  418       190.88039     22435.28078         0.00000
  419       190.92681     22488.30956         0.00000
  420       190.97315     22541.35122         0.00000
  421       191.01942     22594.40574         0.00000
  422       191.06561     22647.47311         0.00000
  423       191.11173     22700.55330         0.00000
  424       191.15777     22753.64628         0.00000
  425       191.20373     22806.75204         0.00000
  426       191.24962     22859.87057         0.00000
  427       191.29544     22913.00182         0.00000
  428       191.34117     22966.14580         0.00000
  429       191.38684     23019.30247         0.00000
  430       191.43243     23072.47181         0.00000
  431       191.47794     23125.65380         0.00000
  432       191.52338     23178.84843         0.00000
  433       191.56874     23232.05567         0.00000
  434       191.61403     23285.27550         0.00000
  435       191.65924     23338.50790         0.00000
  436       191.70438     23391.75285         0.00000
  437       191.74945     23445.01032         0.00000
  438       191.79444     23498.28031         0.00000
  439       191.83936     23551.56278         0.00000
  440       191.88420     23604.85772         0.00000
  441       191.92897     23658.16510         0.00000
  442       191.97367     23711.48491         0.00000
  443       192.01829     23764.81713         0.00000
  444       192.06284     23818.16173         0.00000
  445       192.10731     23871.51870         0.00000
  446       192.15171     23924.88800         0.00000
  447       192.19604     23978.26964         0.00000
  448       191.71168     24031.59015        -6.64657
  449       191.22813     24084.77624        -6.62981
  450       190.74537     24137.82811        -6.61307
  451       190.26340     24190.74600        -6.59636
  452       189.78222     24243.53011        -6.57968
  453       189.30183     24296.18067        -6.56302
  454       188.82222     24348.69790        -6.54640
  455       187.83026     24401.01075        -6.51201
  456       186.83990     24453.04827        -6.47767
  457       185.85115     24504.81092        -6.44339
  458       184.21530     24556.20904       -14.22417
  459       182.58207     24607.15311       -14.09806
  460       180.95144     24657.64388       -13.97215
  461       179.32338     24707.68205       -13.84644
  462       177.69788     24757.26833       -13.72093
  463       176.07491     24806.40344       -13.59561
  464       174.45445     24855.08808       -13.47049
  465       172.83648     24903.32293       -13.34556
  466       171.22098     24951.10869       -13.22082
  467       169.60793     24998.44604       -13.09627
  468       167.99730     25045.33565       -12.97190
  469       166.38907     25091.77821       -12.84772
  470       164.78323     25137.77436       -12.72373
  471       163.17975     25183.32477       -12.59991
  472       161.57861     25228.43010       -12.47628
  473       159.97979     25273.09099       -12.35283
  474       158.38327     25317.30808       -12.22955
  475       156.78903     25361.08201       -12.10645
  476       155.19705     25404.41341       -11.98353
  477       153.60730     25447.30290       -11.86078
  478       152.01977     25489.75111       -11.73820
  479       150.43445     25531.75864       -11.61579
  480       148.85129     25573.32610       -11.49354
  481       147.27030     25614.45410       -11.37147
  482       145.69145     25655.14323       -11.24956
  483       144.11471     25695.39409       -11.12781
  484       142.54007     25735.20725       -11.00622
  485       140.96751     25774.58331       -10.88480
  486       139.39701     25813.52283       -10.76353
  487       137.82856     25852.02638       -10.64242
  488       136.26212     25890.09453       -10.52147
  489       134.69768     25927.72783       -10.40067
  490       133.13523     25964.92685       -10.28003
  491       131.57474     26001.69212       -10.15954
  492       130.01620     26038.02420       -10.03919
  493       128.45958     26073.92361        -9.91900
  494       126.90487     26109.39090        -9.79895
  495       125.61762     26144.46346        -9.69956
  496       124.33193     26179.17868        -9.60028
  497       123.04777     26213.53697        -9.50113
  498       121.76514     26247.53876        -9.40209
  499       120.51643     26281.18898        -9.04949
  500       119.26919     26314.49254        -8.95584
  501       118.02339     26347.44984        -8.86229
  502       116.77903     26380.06129        -8.76885
  503       115.53609     26412.32728        -8.67552
  504       114.29457     26444.24821        -8.58230
  505       113.05445     26475.82446        -8.48918
  506       111.81572     26507.05643        -8.39616
  507       110.57837     26537.94449        -8.30325
  508       109.34238     26568.48904        -8.21044
  509       108.10774     26598.69045        -8.11773
  510       106.87445     26628.54909        -8.02513
  511       105.64248     26658.06533        -7.93262
  512       104.41184     26687.23954        -7.84021
  513       103.18250     26716.07208        -7.74790
  514       101.95446     26744.56333        -7.65569
  515       100.72770     26772.71363        -7.56357
  516        99.50221     26800.52334        -7.47155
  517        98.27798     26827.99281        -7.37962
  518        97.05500     26855.12239        -7.28779
  519        95.83326     26881.91242        -7.19605
  520        94.61274     26908.36326        -7.10440
  521        93.39344     26934.47523        -7.01285
  522        92.17535     26960.24867        -6.92138
  523        90.95845     26985.68392        -6.83000
  524        89.74272     27010.78130        -6.73872
  525        88.52817     27035.54115        -6.64752
  526        87.31478     27059.96378        -6.55640
  527        86.10254     27084.04952        -6.46538
  528        84.89143     27107.79868        -6.37444
  529        83.68145     27131.21158        -6.28358
  530        82.47258     27154.28853        -6.19281
  531        81.26482     27177.02984        -6.10212
  532        80.05815     27199.43581        -6.01151
  533        78.85257     27221.50674        -5.92098
  534        77.64805     27243.24294        -5.83054
  535        76.44460     27264.64470        -5.74017
  536        75.24220     27285.71231        -5.64988
  537        74.04084     27306.44606        -5.55967
  538        72.84050     27326.84625        -5.46954
  539        71.64119     27346.91315        -5.37949
  540        70.44288     27366.64705        -5.28951
  541        69.24557     27386.04822        -5.19960
  542        68.04925     27405.11695        -5.10977
  543        66.85390     27423.85350        -5.02001
  544        65.65952     27442.25814        -4.93033
  545        64.46610     27460.33114        -4.84071
  546        63.27361     27478.07277        -4.75117
  547        62.08207     27495.48328        -4.66170
  548        60.89145     27512.56293        -4.57229
  549        59.70174     27529.31199        -4.48296
  550        58.51294     27545.73069        -4.39369
  551        57.32503     27561.81930        -4.30449
  552        56.13800     27577.57805        -4.21536
  553        54.95184     27593.00720        -4.12629
  554        53.76655     27608.10697        -4.03729
  555        52.58212     27622.87762        -3.94835
  556        51.39852     27637.31938        -3.85948
  557        50.21576     27651.43247        -3.77067
  558        49.03382     27665.21714        -3.68191
  559        47.85269     27678.67360        -3.59322
  560        46.67237     27691.80208        -3.50459
  561        45.49284     27704.60280        -3.41602
  562        44.31409     27717.07598        -3.32751
  563        43.13611     27729.22184        -3.23906
  564        41.95890     27741.04059        -3.15066
  565        40.78244     27752.53245        -3.06232
  566        39.60672     27763.69761        -2.97404
  567        38.43174     27774.53628        -2.88581
  568        37.25748     27785.04867        -2.79764
  569        36.08394     27795.23498        -2.70952
  570        34.91109     27805.09540        -2.62145
  571        33.73895     27814.63013        -2.53343
  572        32.56749     27823.83936        -2.44547
  573        31.39670     27832.72327        -2.35756
  574        30.22658     27841.28206        -2.26969
  575        29.05711     27849.51591        -2.18188
  576        27.88830     27857.42499        -2.09411
  577        26.72011     27865.00949        -2.00639
  578        25.55256     27872.26959        -1.91872
  579        24.38562     27879.20545        -1.83110
  580        23.21929     27885.81724        -1.74352
  581        22.05356     27892.10514        -1.65599
  582        20.88842     27898.06930        -1.56850
  583        19.72386     27903.70989        -1.48105
  584        18.55987     27909.02708        -1.39365
  585        17.39644     27914.02101        -1.30629
  586        16.23356     27918.69184        -1.21897
  587        15.07122     27923.03973        -1.13169
  588        13.90941     27927.06481        -1.04445
  589        12.74813     27930.76725        -0.95725
  590        11.58736     27934.14718        -0.87009
  591        10.42710     27937.20474        -0.78296
  592         9.26733     27939.94008        -0.69588
  593         8.10805     27942.35333        -0.60883
  594         6.94924     27944.44462        -0.52181
  595         5.79090     27946.21408        -0.43483
  596         4.63302     27947.66185        -0.34789
  597         3.47559     27948.78804        -0.26098
  598         2.31860     27949.59279        -0.17410
  599         1.16203     27950.07621        -0.08726
  600         0.00589     27950.23843        -0.00044
  601         0.00000     27950.23843         0.00000
  602         0.00000     27950.23843         0.00000
  603         0.00000     27950.23843         0.00000
  604         0.00000     27950.23843         0.00000
  605         0.00000     27950.23843         0.00000
  606         0.00000     27950.23843         0.00000
  607         0.00000     27950.23843         0.00000
  608         0.00000     27950.23843         0.00000
  609         0.00000     27950.23843         0.00000
  610         0.00000     27950.23843         0.00000
  611         0.00000     27950.23843         0.00000
  612         0.00000     27950.23843         0.00000
  613         0.00000     27950.23843         0.00000
  614         0.00000     27950.23843         0.00000
  615         0.00000     27950.23843         0.00000
  616         0.00000     27950.23843         0.00000
  617         0.00000     27950.23843         0.00000
  618         0.00000     27950.23843         0.00000
  619         0.00000     27950.23843         0.00000
  620         0.00000     27950.23843         0.00000
  621         0.00000     27950.23843         0.00000
  622         0.00000     27950.23843         0.00000
  623         0.00000     27950.23843         0.00000
  624         0.00000     27950.23843         0.00000
  625         0.00000     27950.23843         0.00000
  626         0.00000     27950.23843         0.00000
  627         0.00000     27950.23843         0.00000
  628         0.00000     27950.23843         0.00000
  629         0.00000     27950.23843         0.00000
  630         0.00000     27950.23843         0.00000
  631         0.00000     27950.23843         0.00000
  632         0.00000     27950.23843         0.00000
  633         0.00000     27950.23843         0.00000
  634         0.00000     27950.23843         0.00000
  635         0.00000     27950.23843         0.00000
  636         0.00000     27950.23843         0.00000
  637         0.00000     27950.23843         0.00000
  638         0.00000     27950.23843         0.00000
  639         0.00000     27950.23843         0.00000
  640         0.00000     27950.23843         0.00000
  641         0.00000     27950.23843         0.00000
  642         0.00000     27950.23843         0.00000
  643         0.00000     27950.23843         0.00000
  644         0.00000     27950.23843         0.00000
  645         0.00000     27950.23843         0.00000
  646         0.00000     27950.23843         0.00000
  647         0.00000     27950.23843         0.00000
  648         0.00000     27950.23843         0.00000
  649         0.00000     27950.23843         0.00000
  650         0.00000     27950.23843         0.00000
  651         0.00000     27950.23843         0.00000
  652         0.00000     27950.23843         0.00000
  653         0.00000     27950.23843         0.00000
  654         0.00000     27950.23843         0.00000
  655         0.00000     27950.23843         0.00000
  656         0.00000     27950.23843         0.00000
  657         0.00000     27950.23843         0.00000
  658         0.00000     27950.23843         0.00000
  659         0.00000     27950.23843         0.00000
  660         0.00000     27950.23843         0.00000
  661         1.84146     27953.25576       255.75892
  662         3.68227     27954.02294       511.42611
  663         5.52239     27955.30137       766.99843
  664         7.36180     27957.09084      1022.47273
  665         9.20049     27959.39116      1277.84587
  666        11.03843     27962.20212      1533.11473
  667        12.87559     27965.52351      1788.27618
  668        14.71196     27969.35511      2043.32709
  669        16.54750     27973.69670      2298.26435
  670        18.38221     27978.54805      2553.08485
  671        20.21606     27983.90892      2807.78549
  672        22.04901     27989.77907      3062.36316
  673        23.88107     27996.15825      3316.81477
  674        25.71219     28003.04620      3571.13724
  675        27.54236     28010.44267      3825.32749
  676        29.37155     28018.34738      4079.38244
  677        31.19975     28026.76006      4333.29902
  678        33.02693     28035.68043      4587.07418
  679        34.85308     28045.10821      4840.70486
  680        36.67815     28055.04310      5094.18801
  681        38.50215     28065.48481      5347.52060
  682        40.32504     28076.43303      5600.69959
  683        42.14680     28087.88745      5853.72196
  684        43.96741     28099.84776      6106.58469
  685        45.78685     28112.31363      6359.28476
  686        47.60510     28125.28473      6611.81919
  687        49.42213     28138.76074      6864.18498
  688        51.23793     28152.74130      7116.37913
  689        53.05247     28167.22608      7368.39868
  690        54.86573     28182.21472      7620.24065
  691        56.67770     28197.70686      7871.90209
  692        58.48834     28213.70214      8123.38004
  693        60.29764     28230.20020      8374.67157
  694        62.10557     28247.20064      8625.77373
  695        63.91212     28264.70310      8876.68360
  696        65.71727     28282.70718      9127.39827
  697        67.52099     28301.21249      9377.91484
  698        69.32326     28320.21864      9628.23040
  699        71.12406     28339.72521      9878.34207
  700        72.92338     28359.73180     10128.24697
  701        74.72118     28380.23799     10377.94223
  702        76.51746     28401.24336     10627.42501
  703        78.31219     28422.74747     10876.69244
  704        80.10534     28444.74991     11125.74170
  705        81.89690     28467.25022     11374.56996
  706        83.68686     28490.24796     11623.17439
  707        85.47518     28513.74269     11871.55221
