time(sec)  velocity(km/h)  position(m)   Power(kW)
 1182       201.88172     56141.35159         0.00000
 1183       201.66210     56197.39934         0.00000
 1184       201.44287     56253.38615         0.00000
 1185       201.22401     56309.31210         0.00000
 1186       201.00552     56365.17731         0.00000
 1187       200.78741     56420.98189         0.00000
 1188       200.56967     56476.72593         0.00000
 1189       200.35230     56532.40953         0.00000
 1190       200.13531     56588.03281         0.00000
 1191       199.91868     56643.59587         0.00000
 1192       199.70242     56699.09880         0.00000
 1193       199.48653     56754.54171         0.00000
 1194       199.27101     56809.92470         0.00000
 1195       199.05586     56865.24788         0.00000
 1196       198.84106     56920.51134         0.00000
 1197       198.62664     56975.71519         0.00000
 1198       198.41257     57030.85952         0.00000
 1199       198.19887     57085.94444         0.00000
 1200       197.98553     57140.97006         0.00000
 1201       197.77256     57195.93646         0.00000
 1202       197.55994     57250.84375         0.00000
 1203       197.34768     57305.69203         0.00000
 1204       197.13577     57360.48140         0.00000
 1205       196.92423     57415.21195         0.00000
 1206       196.71304     57469.88379         0.00000
 1207       196.50220     57524.49702         0.00000
 1208       196.29172     57579.05173         0.00000
 1209       196.08160     57633.54803         0.00000
 1210       195.87182     57687.98600         0.00000
 1211       195.66240     57742.36576         0.00000
 1212       195.45333     57796.68739         0.00000
 1213       195.24461     57850.95099         0.00000
 1214       195.03623     57905.15666         0.00000
 1215       194.82821     57959.30450         0.00000
 1216       194.62053     58013.39460         0.00000
 1217       194.41320     58067.42707         0.00000
 1218       194.20621     58121.40198         0.00000
 1219       193.99957     58175.31945         0.00000
 1220       193.79327     58229.17957         0.00000
 1221       193.58732     58282.98243         0.00000
 1222       193.38171     58336.72813         0.00000
 1223       193.17643     58390.41676         0.00000
 1224       192.97150     58444.04842         0.00000
 1225       192.76691     58497.62320         0.00000
 1226       192.56266     58551.14119         0.00000
 1227       192.35874     58604.60250         0.00000
 1228       192.15516     58658.00720         0.00000
 1229       191.95192     58711.35541         0.00000
 1230       191.74901     58764.64721         0.00000
 1231       191.54644     58817.88268         0.00000
 1232       191.34420     58871.06194         0.00000
 1233       191.14229     58924.18506         0.00000
 1234       190.94072     58977.25215         0.00000
 1235       190.73947     59030.26329         0.00000
 1236       190.53856     59083.21857         0.00000
 1237       190.33798     59136.11809         0.00000
 1238       190.13772     59188.96193         0.00000
 1239       189.93779     59241.75020         0.00000
 1240       189.73819     59294.48297         0.00000
 1241       189.53892     59347.16035         0.00000
 1242       189.33997     59399.78242         0.00000
 1243       189.14135     59452.34927         0.00000
 1244       188.94305     59504.86099         0.00000
 1245       188.74507     59557.31767         0.00000
 1246       188.54741     59609.71941         0.00000
 1247       188.35008     59662.06628         0.00000
 1248       188.15307     59714.35838         0.00000
 1249       187.95638     59766.59581         0.00000
 1250       187.76000     59818.77864         0.00000
 1251       187.56395     59870.90696         0.00000
 1252       187.36821     59922.98087         0.00000
 1253       187.17279     59975.00046         0.00000
 1254       186.97768     60026.96580         0.00000
 1255       186.78289     60078.87699         0.00000
 1256       186.58842     60130.73412         0.00000
 1257       186.39426     60182.53727         0.00000
 1258       186.20041     60234.28653         0.00000
 1259       186.00687     60285.98198         0.00000
 1260       185.81365     60337.62372         0.00000
 1261       185.30324     60389.16773         0.00000
 1262       184.79366     60440.57008         0.00000
 1263       184.28489     60491.83099         0.00000
 1264       183.77693     60542.95069         0.00000
 1265       183.26979     60593.92940         0.00000
 1266       182.76345     60644.76735         0.00000
 1267       182.25792     60695.46476         0.00000
 1268       181.75319     60746.02186         0.00000
 1269       181.24925     60796.43886         0.00000
 1270       180.74611     60846.71600         0.00000
 1271       180.24377     60896.85348         0.00000
 1272       179.74221     60946.85153         0.00000
 1273       179.24144     60996.71037         0.00000
 1274       178.74145     61046.43022         0.00000
 1275       178.24225     61096.01129         0.00000
 1276       177.74382     61145.45380         0.00000
 1277       177.24616     61194.75796         0.00000
 1278       176.74928     61243.92399         0.00000
 1279       176.25317     61292.95211         0.00000
 1280       175.75782     61341.84253         0.00000
 1281       175.26324     61390.59545         0.00000
 1282       174.76942     61439.21110         0.00000
 1283       174.27635     61487.68968         0.00000
 1284       173.78404     61536.03140         0.00000
 1285       173.29249     61584.23648         0.00000
 1286       172.80168     61632.30511         0.00000
 1287       172.31162     61680.23751         0.00000
 1288       171.82230     61728.03389         0.00000
 1289       171.33372     61775.69445         0.00000
 1290       170.84588     61823.21939         0.00000
 1291       170.35878     61870.60893         0.00000
 1292       168.85695     61917.72222       -11.24599
 1293       167.35736     61964.41865       -11.14611
 1294       165.86001     62010.69884       -11.04639
 1295       164.36486     62056.56341       -10.94681
 1296       162.87192     62102.01296       -10.84738
 1297       161.38115     62147.04811       -10.74809
 1298       159.89253     62191.66945       -10.64895
 1299       158.40606     62235.87759       -10.54995
 1300       156.92171     62279.67312       -10.45109
 1301       155.43946     62323.05661       -10.35237
 1302       153.95930     62366.02866       -10.25379
 1303       152.48120     62408.58984       -10.15535
 1304       151.00516     62450.74072       -10.05705
 1305       149.53115     62492.48188        -9.95888
 1306       148.05915     62533.81386        -9.86084
 1307       146.58915     62574.73724        -9.76294
 1308       145.12113     62615.25255        -9.66517
 1309       143.65508     62655.36036        -9.56753
 1310       142.19097     62695.06120        -9.47002
 1311       140.72879     62734.35561        -9.37263
 1312       139.26853     62773.24413        -9.27538
 1313       137.81016     62811.72728        -9.17825
 1314       136.35367     62849.80559        -9.08125
 1315       134.89904     62887.47958        -8.98437
 1316       133.44625     62924.74976        -8.88761
 1317       131.99529     62961.61664        -8.79098
 1318       130.54615     62998.08073        -8.69446
 1319       129.09880     63034.14252        -8.59807
 1320       127.97072     63069.84662        -8.52294
 1321       126.84402     63105.23756        -8.44790
 1322       125.71868     63140.31571        -8.37295
 1323       124.59470     63175.08146        -8.29809
 1324       123.47207     63209.53518        -8.22332
 1325       122.35077     63243.67724        -8.14864
 1326       121.23080     63277.50801        -8.07405
 1327       120.11214     63311.02786        -7.99955
 1328       118.99479     63344.23716        -7.92513
 1329       117.87874     63377.13626        -7.85080
 1330       116.76397     63409.72553        -7.77656
 1331       115.65048     63442.00531        -7.70240
 1332       114.53825     63473.97597        -7.62833
 1333       113.42729     63505.63785        -7.55433
 1334       112.31756     63536.99130        -7.48043
 1335       111.20908     63568.03667        -7.40660
 1336       110.10182     63598.77429        -7.33286
 1337       108.99578     63629.20451        -7.25919
 1338       107.89095     63659.32767        -7.18561
 1339       106.78732     63689.14410        -7.11211
 1340       105.68487     63718.65412        -7.03868
 1341       104.58361     63747.85808        -6.96534
 1342       103.48351     63776.75629        -6.89207
 1343       102.38458     63805.34908        -6.81888
 1344       101.28680     63833.63677        -6.74577
 1345       100.19016     63861.61968        -6.67273
 1346        99.09465     63889.29813        -6.59977
 1347        98.00026     63916.67242        -6.52688
 1348        96.90699     63943.74287        -6.45407
 1349        95.81483     63970.50979        -6.38133
 1350        94.72376     63996.97348        -6.30867
 1351        93.63377     64023.13425        -6.23607
 1352        92.54487     64048.99240        -6.16355
 1353        91.45703     64074.54821        -6.09110
 1354        90.37025     64099.80200        -6.01872
 1355        89.28452     64124.75406        -5.94641
 1356        88.19983     64149.40466        -5.87417
 1357        87.11618     64173.75411        -5.80200
 1358        86.03355     64197.80268        -5.72989
 1359        84.95193     64221.55066        -5.65786
 1360        83.87132     64244.99834        -5.58589
 1361        82.79171     64268.14598        -5.51398
 1362        81.71308     64290.99387        -5.44215
 1363        80.63544     64313.54227        -5.37038
 1364        79.55876     64335.79147        -5.29867
 1365        78.48305     64357.74172        -5.22702
 1366        77.40828     64379.39329        -5.15544
 1367        76.33447     64400.74645        -5.08393
 1368        75.26159     64421.80146        -5.01247
 1369        74.18964     64442.55857        -4.94108
 1370        73.11860     64463.01805        -4.86975
 1371        72.04848     64483.18015        -4.79848
 1372        70.97926     64503.04511        -4.72727
 1373        69.91093     64522.61319        -4.65612
 1374        68.84348     64541.88464        -4.58502
 1375        67.77691     64560.85969        -4.51399
 1376        66.71121     64579.53860        -4.44301
 1377        65.64637     64597.92160        -4.37209
 1378        64.58238     64616.00892        -4.30123
 1379        63.51924     64633.80082        -4.23042
 1380        62.45693     64651.29750        -4.15967
 1381        61.39544     64668.49922        -4.08898
 1382        60.33477     64685.40620        -4.01834
 1383        59.27492     64702.01865        -3.94775
 1384        58.21586     64718.33682        -3.87722
 1385        57.15760     64734.36091        -3.80674
 1386        56.10012     64750.09115        -3.73631
 1387        55.04342     64765.52775        -3.66593
 1388        53.98749     64780.67093        -3.59560
 1389        52.93232     64795.52091        -3.52533
 1390        51.87790     64810.07788        -3.45510
 1391        50.82423     64824.34207        -3.38493
 1392        49.77129     64838.31367        -3.31480
 1393        48.71909     64851.99289        -3.24472
 1394        47.66760     64865.37993        -3.17469
 1395        46.61683     64878.47499        -3.10471
 1396        45.56676     64891.27826        -3.03478
 1397        44.51739     64903.78995        -2.96489
 1398        43.46871     64916.01024        -2.89505
 1399        42.42071     64927.93933        -2.82525
 1400        41.37338     64939.57740        -2.75550
 1401        40.32671     64950.92463        -2.68579
 1402        39.28071     64961.98122        -2.61612
 1403        38.23536     64972.74734        -2.54650
 1404        37.19064     64983.22317        -2.47692
 1405        36.14656     64993.40889        -2.40739
 1406        35.10311     65003.30468        -2.33789
 1407        34.06028     65012.91071        -2.26844
 1408        33.01806     65022.22714        -2.19903
 1409        31.97644     65031.25416        -2.12965
 1410        30.93541     65039.99191        -2.06032
